antecedent,consequent,confidence,lift,support
"[""Seedless Red Grapes""]","[""Banana""]",0.28627740822862774,2.005883395080103,0.008856099810226432
"[""Asparagus""]","[""Banana""]",0.20501551189245087,1.4364990013829213,0.006043792727633013
"[""Honeycrisp Apple""]","[""Banana""]",0.34666291185581527,2.4289914558202317,0.009381978370386177
"[""Organic Blueberries""]","[""Organic Strawberries""]",0.25553765606121626,3.0777345616060328,0.009671592649894444
"[""Organic Blueberries""]","[""Bag of Organic Bananas""]",0.22895690696737817,1.940646434514388,0.008665564100023627
"[""Cucumber Kirby""]","[""Banana""]",0.307915457936179,2.157496492595755,0.0056627213072274005
"[""Organic Grape Tomatoes""]","[""Bag of Organic Bananas""]",0.21449123724823438,1.8180349320480353,0.006249571294652044
"[""Organic Grape Tomatoes""]","[""Organic Baby Spinach""]",0.22181532827622286,2.974669604230879,0.006462971290079187
"[""Organic Grape Tomatoes""]","[""Banana""]",0.22730839654721424,1.5927003846290415,0.006623021286649544
"[""Broccoli Crown""]","[""Banana""]",0.3154843110504775,2.210529796465988,0.00704982127750383
"[""Large Lemon""]","[""Banana""]",0.26527350952673634,1.8587136554252668,0.016447042504706234
"[""Organic Baby Spinach""]","[""Bag of Organic Bananas""]",0.2285363859362224,1.937082084128282,0.017041513920538987
"[""Organic Baby Spinach""]","[""Banana""]",0.2044153720359771,1.4322939522305091,0.015242856816224497
"[""Yellow Onions""]","[""Banana""]",0.284688995215311,1.9947537313470969,0.008162549825088218
"[""Organic Cucumber""]","[""Organic Strawberries""]",0.2237155863862996,2.694464693791076,0.00786531411717184
"[""Organic Cucumber""]","[""Bag of Organic Bananas""]",0.2748753522653371,2.3298527193399625,0.009663971221486331
"[""Organic Cucumber""]","[""Organic Baby Spinach""]",0.2022544981573813,2.7123477564116762,0.007110792704768728
"[""Organic Avocado""]","[""Banana""]",0.2990956944256985,2.0956983322600378,0.016889085352376744
"[""Organic Hass Avocado""]","[""Organic Strawberries""]",0.21102426984779926,2.541608538870928,0.01172937832008475
"[""Organic Hass Avocado""]","[""Bag of Organic Bananas""]",0.33182503770739064,2.8125601661853374,0.018443856747631642
"[""Organic Hass Avocado"",""Organic Strawberries""]","[""Bag of Organic Bananas""]",0.4613385315139701,3.910320890272384,0.005411214169759696
"[""Organic Blackberries""]","[""Banana""]",0.2427013717903623,1.7005556067094758,0.005258785601597452
"[""Organic Zucchini""]","[""Bag of Organic Bananas""]",0.2268468075833515,1.9227611612534863,0.00793390697284485
"[""Organic Zucchini""]","[""Organic Baby Spinach""]",0.2070167792547396,2.776212652211276,0.007240356987706636
"[""Organic Zucchini""]","[""Banana""]",0.20461974286336893,1.4337259340681283,0.007156521275217401
"[""Apple Honeycrisp Organic""]","[""Bag of Organic Bananas""]",0.30506216696269983,2.585717174742176,0.0052359213163731145
"[""Strawberries""]","[""Banana""]",0.29996920234062213,2.101818811807684,0.01484654253900266
"[""Organic Navel Orange""]","[""Bag of Organic Bananas""]",0.3661616161616162,3.103598158588469,0.0055255355958813805
"[""Organic Strawberries""]","[""Bag of Organic Bananas""]",0.28217367358178813,2.3917135359814496,0.023428270926537053
"[""Organic Garlic""]","[""Organic Yellow Onion""]",0.20442520442520443,6.252313903829055,0.006478214146895411
"[""Organic Garlic""]","[""Bag of Organic Bananas""]",0.21933621933621933,1.859101162977132,0.006950742708198371
"[""Blueberries""]","[""Banana""]",0.30822212656048215,2.159645252796876,0.00545694274020837
"[""Organic Gala Apples""]","[""Bag of Organic Bananas""]",0.28835884656461375,2.4441392699545483,0.006173357010570921
"[""Organic Gala Apples""]","[""Banana""]",0.23709505161979352,1.6612733433718618,0.005075871319802757
"[""Organic Large Extra Fancy Fuji Apple""]","[""Bag of Organic Bananas""]",0.3365617433414044,2.8527086422533805,0.0074156498410932175
"[""Raspberries""]","[""Strawberries""]",0.2006709362610552,4.0544861219397585,0.005014899892537859
"[""Organic Strawberries"",""Bag of Organic Bananas""]","[""Organic Hass Avocado""]",0.23096942094990242,4.155391026109386,0.005411214169759696
"[""Organic Yellow Onion""]","[""Bag of Organic Bananas""]",0.2331002331002331,1.9757654059979641,0.007621428408112248
"[""Organic Baby Carrots""]","[""Bag of Organic Bananas""]",0.22935779816513763,1.9440444017732263,0.006287678436692605
"[""Organic Baby Carrots""]","[""Banana""]",0.20544898526549904,1.4395362548168782,0.005632235593594951
"[""Organic Whole Milk""]","[""Bag of Organic Bananas""]",0.22779136104319478,1.930767228108304,0.008520756960269493
"[""Organic Whole Milk""]","[""Banana""]",0.21271393643031786,1.4904401839733832,0.007956771258069187
"[""Red Peppers""]","[""Banana""]",0.2884681583476764,2.0212335036121045,0.006386757005998064
"[""Small Hass Avocado""]","[""Banana""]",0.27876248791492103,1.953227986587038,0.006592535573017095
"[""Organic Cilantro""]","[""Limes""]",0.2855927396483267,6.2112278761009945,0.007674778406969034
"[""Organic Cilantro""]","[""Bag of Organic Bananas""]",0.20249574588769143,1.716360744326751,0.005441699883392145
"[""Organic Fuji Apple""]","[""Banana""]",0.37150752225974826,2.60307222515109,0.009221928373815821
"[""Organic Raspberries""]","[""Organic Strawberries""]",0.3011179228272629,3.6267102566772844,0.012727785441547455
"[""Organic Raspberries""]","[""Bag of Organic Bananas""]",0.32095203750450774,2.720400251222801,0.013566142566439803
"[""Organic Lemon""]","[""Bag of Organic Bananas""]",0.3044222539229672,2.580293250321615,0.00813206411145577
"[""Organic Lemon""]","[""Organic Hass Avocado""]",0.22282453637660485,4.008855696344158,0.005952335586735666
"[""Limes""]","[""Large Lemon""]",0.264379247472236,4.26415939540069,0.012156178310939037
"[""Limes""]","[""Banana""]",0.22061992375269351,1.545835713749181,0.010144121211197402
"[""Organic Red Onion""]","[""Bag of Organic Bananas""]",0.21084337349397592,1.7871155163288817,0.00613524986853036
"[""Organic Hass Avocado"",""Bag of Organic Bananas""]","[""Organic Strawberries""]",0.29338842975206614,3.533615061441054,0.005411214169759696
