items,freq
Salted Butter,808
Macaroni & Cheese,712
Organic Diced Tomatoes,837
"Super Spinach! Baby Spinach, Baby Bok Choy, Sweet Baby Kale",754
Black Beans,734
English Seedless Cucumber,773
Globe Eggplant,663
Ezekiel 4:9 Bread Organic Sprouted Whole Grain,698
2% Reduced Fat Organic Milk,686
Unsweetened Original Almond Breeze Almond Milk,1465
Organic Navel Orange,1980
"Organic Navel Orange,Bag of Organic Bananas",725
Clementines,1351
Half & Half,2424
Apple Honeycrisp Organic,2252
"Apple Honeycrisp Organic,Bag of Organic Bananas",687
Organic Heavy Whipping Cream,866
Orange Bell Pepper,1864
Organic Black Beans,1576
Cherubs Heavenly Salad Tomatoes,1024
Ground Turkey Breast,958
Baby Spinach,1147
Organic Hothouse Cucumbers,926
Organic Fuji Apple,3257
"Organic Fuji Apple,Banana",1210
Fresh Cauliflower,2651
Frozen Organic Wild Blueberries,1065
No Salt Added Black Beans,1250
Organic Reduced Fat Milk,1206
Organic Grape Tomatoes,3823
"Organic Grape Tomatoes,Organic Strawberries",742
"Organic Grape Tomatoes,Organic Avocado",684
"Organic Grape Tomatoes,Bag of Organic Bananas",820
"Organic Grape Tomatoes,Organic Baby Spinach",848
"Organic Grape Tomatoes,Banana",869
Organic Raspberries,5546
"Organic Raspberries,Organic Strawberries",1670
"Organic Raspberries,Bag of Organic Bananas",1780
"Organic Raspberries,Organic Baby Spinach",764
"Organic Raspberries,Organic Hass Avocado",1019
"Organic Raspberries,Banana",899
Banana,18726
Celery Hearts,686
Total 0% Nonfat Plain Greek Yogurt,660
Organic Baby Spinach Salad,710
Organic American Cheese Singles,696
Uncured Hickory Smoked Sunday Bacon,835
Sweet Onion,916
Organic Milk,858
Cucumber Kirby,2413
"Cucumber Kirby,Banana",743
Organic Extra Firm Tofu,1186
Organic Garbanzo Beans,1141
Organic Snipped Green Beans,772
Organic Celery Hearts,1062
Organic Frozen Peas,753
"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",733
